name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nsec,max_mac_per_nsec,avg_mac_per_nsec
FIR.basic_restrict,16,32,512,OK,0.834465e-6,255.000000,1632.000000,1716.000000,1659.000000,1088.000000,1144.000000,1106.000000,0.298368,0.313726,0.308620,0.447552,0.470588,0.462929
FIR.circular,16,32,512,OK,0.834465e-6,255.000000,3687.000000,3855.000000,3704.000000,2458.000000,2570.000000,2469.000000,0.132815,0.138866,0.138229,0.199222,0.208299,0.207371
FIR.circular_restrict,16,32,512,OK,0.834465e-6,255.000000,3689.000000,3746.000000,3705.000000,2459.000000,2497.000000,2470.000000,0.136679,0.138791,0.138192,0.205046,0.208215,0.207287
FIR.opt,16,32,512,OK,0.834465e-6,255.000000,467.000000,551.000000,480.000000,311.000000,367.000000,320.000000,0.929220,1.096360,1.066667,1.395095,1.646302,1.600000
FIR.cmsis,16,32,512,OK,0.715256e-6,255.000000,492.000000,30324.000000,642.000000,328.000000,20216.000000,428.000000,0.016884,1.040650,0.797508,0.025326,1.560976,1.196262
FIR.basic_cache_thrash,16,32,512,OK,0.834465e-6,255.000000,1380.000000,4491.000000,2118.000000,920.000000,2994.000000,1412.000000,0.114006,0.371015,0.241737,0.171009,0.556522,0.362606
FIR.opt_cache_thrash,16,32,512,OK,0.834465e-6,255.000000,492.000000,4602.000000,1331.000000,328.000000,3068.000000,887.000000,0.111256,1.040650,0.384673,0.166884,1.560976,0.577227
FIR.basic,16,64,1024,OK,0.834465e-6,127.000000,2687.000000,3272.000000,2778.000000,1791.000000,2181.000000,1852.000000,0.312958,0.381094,0.368611,0.469509,0.571748,0.552916
FIR.basic_restrict,16,64,1024,OK,0.834465e-6,127.000000,3242.000000,3353.000000,3266.000000,2161.000000,2235.000000,2177.000000,0.305398,0.315854,0.313533,0.458166,0.473855,0.470372
FIR.circular,16,64,1024,OK,0.834465e-6,127.000000,7383.000000,7412.000000,7385.000000,4922.000000,4941.000000,4923.000000,0.138154,0.138697,0.138659,0.207245,0.208046,0.208003
FIR.circular_restrict,16,64,1024,OK,0.834465e-6,127.000000,7382.000000,7410.000000,7383.000000,4921.000000,4940.000000,4922.000000,0.138192,0.138716,0.138697,0.207287,0.208088,0.208046
FIR.opt,16,64,1024,OK,0.834465e-6,127.000000,936.000000,13715.000000,1047.000000,624.000000,9143.000000,698.000000,0.074663,1.094017,0.978032,0.111998,1.641026,1.467049
FIR.cmsis,16,64,1024,OK,0.715256e-6,127.000000,993.000000,1077.000000,1014.000000,662.000000,718.000000,676.000000,0.950789,1.031219,1.009862,1.426184,1.546828,1.514793
FIR.basic_cache_thrash,16,64,1024,OK,0.834465e-6,127.000000,2742.000000,4689.000000,3353.000000,1828.000000,3126.000000,2235.000000,0.218383,0.373450,0.305398,0.327575,0.560175,0.458166
FIR.opt_cache_thrash,16,64,1024,OK,0.834465e-6,127.000000,957.000000,2541.000000,1820.000000,638.000000,1694.000000,1213.000000,0.402991,1.070010,0.562637,0.604486,1.605016,0.844188
FIR.basic,16,128,2048,OK,0.834465e-6,63.000000,5403.000000,5625.000000,5445.000000,3602.000000,3750.000000,3630.000000,0.364089,0.379049,0.376125,0.546133,0.568573,0.564187
FIR.basic_restrict,16,128,2048,OK,0.834465e-6,63.000000,6494.000000,6579.000000,6522.000000,4329.000000,4386.000000,4348.000000,0.311294,0.315368,0.314014,0.466940,0.473088,0.471021
FIR.circular,16,128,2048,OK,0.834465e-6,63.000000,14712.000000,14795.000000,14741.000000,9808.000000,9863.000000,9827.000000,0.138425,0.139206,0.138932,0.207645,0.208809,0.208405
FIR.circular_restrict,16,128,2048,OK,0.834465e-6,63.000000,14717.000000,14801.000000,14745.000000,9811.000000,9867.000000,9830.000000,0.138369,0.139159,0.138895,0.207561,0.208745,0.208342
