name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nanosec,max_mac_per_nanosec,avg_mac_per_nanosec
FIR.basic_restrict,256,16,4096,OK,1.549721e-6,512,6758,6784,6758,6758,6784,6758,0.603774,0.606097,0.606097,0.603774,0.606097,0.606097
FIR.basic_dual_bank,256,16,4096,OK,1.549721e-6,512,6758,6786,6758,6758,6786,6758,0.603596,0.606097,0.606097,0.603596,0.606097,0.606097
FIR.basic_aligned,256,16,4096,OK,1.549721e-6,512,6758,6779,6758,6758,6779,6758,0.604219,0.606097,0.606097,0.604219,0.606097,0.606097
FIR.basic_loop_cnt,256,16,4096,OK,1.549721e-6,512,6643,6674,6643,6643,6674,6643,0.613725,0.616589,0.616589,0.613725,0.616589,0.616589
FIR.circular,256,16,4096,OK,0.953674e-6,512,49253,49253,49253,49253,49253,49253,0.083162,0.083162,0.083162,0.083162,0.083162,0.083162
FIR.circular_opt,256,16,4096,OK,1.549721e-6,512,4462,4480,4462,4462,4480,4462,0.914286,0.917974,0.917974,0.914286,0.917974,0.917974
FIR.lib,256,16,4096,OK,1.549721e-6,512,2205,2238,2205,2205,2238,2205,1.830206,1.857596,1.857596,1.830206,1.857596,1.857596
FIR.basic,256,32,8192,OK,1.549721e-6,256,11414,11458,11414,11414,11458,11414,0.714959,0.717715,0.717715,0.714959,0.717715,0.717715
FIR.basic_restrict,256,32,8192,OK,1.549721e-6,256,11414,11440,11414,11414,11440,11414,0.716084,0.717715,0.717715,0.716084,0.717715,0.717715
FIR.basic_dual_bank,256,32,8192,OK,1.549721e-6,256,11414,11442,11414,11414,11442,11414,0.715959,0.717715,0.717715,0.715959,0.717715,0.717715
FIR.basic_aligned,256,32,8192,OK,1.549721e-6,256,11414,11435,11414,11414,11435,11414,0.716397,0.717715,0.717715,0.716397,0.717715,0.717715
FIR.basic_loop_cnt,256,32,8192,OK,1.549721e-6,256,11203,11234,11203,11203,11234,11203,0.729215,0.731233,0.731233,0.729215,0.731233,0.731233
FIR.circular,256,32,8192,OK,0.953674e-6,256,98501,98501,98501,98501,98501,98501,0.083167,0.083167,0.083167,0.083167,0.083167,0.083167
FIR.circular_opt,256,32,8192,OK,1.549721e-6,256,8910,8928,8910,8910,8928,8910,0.917563,0.919416,0.919416,0.917563,0.919416,0.919416
FIR.lib,256,32,8192,OK,1.549721e-6,256,4309,4342,4309,4309,4342,4309,1.886688,1.901137,1.901137,1.886688,1.901137,1.901137
FIR.basic,256,64,16384,OK,1.549721e-6,128,20726,20770,20726,20726,20770,20726,0.788830,0.790505,0.790505,0.788830,0.790505,0.790505
FIR.basic_restrict,256,64,16384,OK,1.549721e-6,128,20726,20752,20726,20726,20752,20726,0.789514,0.790505,0.790505,0.789514,0.790505,0.790505
FIR.basic_dual_bank,256,64,16384,OK,1.549721e-6,128,20726,20754,20726,20726,20754,20726,0.789438,0.790505,0.790505,0.789438,0.790505,0.790505
FIR.basic_aligned,256,64,16384,OK,1.549721e-6,128,20726,20747,20726,20726,20747,20726,0.789705,0.790505,0.790505,0.789705,0.790505,0.790505
FIR.basic_loop_cnt,256,64,16384,OK,1.549721e-6,128,20323,20354,20323,20323,20354,20323,0.804952,0.806180,0.806180,0.804952,0.806180,0.806180
FIR.circular,256,64,16384,OK,0.953674e-6,128,196997,196997,196997,196997,196997,196997,0.083169,0.083169,0.083169,0.083169,0.083169,0.083169
FIR.circular_opt,256,64,16384,OK,1.549721e-6,128,17806,17824,17806,17806,17824,17806,0.919210,0.920139,0.920139,0.919210,0.920139,0.920139
FIR.lib,256,64,16384,OK,1.549721e-6,128,8517,8550,8517,8517,8550,8517,1.916257,1.923682,1.923682,1.916257,1.923682,1.923682
FIR.basic,256,128,32768,OK,1.549721e-6,64,39350,39394,39350,39350,39394,39350,0.831802,0.832732,0.832732,0.831802,0.832732,0.832732
FIR.basic_restrict,256,128,32768,OK,1.549721e-6,64,39350,39376,39350,39350,39376,39350,0.832182,0.832732,0.832732,0.832182,0.832732,0.832732
FIR.basic_dual_bank,256,128,32768,OK,1.549721e-6,64,39350,39378,39350,39350,39378,39350,0.832140,0.832732,0.832732,0.832140,0.832732,0.832732
FIR.basic_aligned,256,128,32768,OK,1.549721e-6,64,39350,39371,39350,39350,39371,39350,0.832288,0.832732,0.832732,0.832288,0.832732,0.832732
FIR.basic_loop_cnt,256,128,32768,OK,1.549721e-6,64,38563,38594,38563,38563,38594,38563,0.849044,0.849726,0.849726,0.849044,0.849726,0.849726
FIR.circular,256,128,32768,OK,0.953674e-6,64,393989,393989,393989,393989,393989,393989,0.083170,0.083170,0.083170,0.083170,0.083170,0.083170
FIR.circular_opt,256,128,32768,OK,1.549721e-6,64,35598,35616,35598,35598,35616,35598,0.920036,0.920501,0.920501,0.920036,0.920501,0.920501
FIR.lib,256,128,32768,OK,1.549721e-6,64,16933,16966,16933,16933,16966,16933,1.931392,1.935156,1.935156,1.931392,1.935156,1.935156
FIR.basic,512,8,4096,OK,2.384186e-6,1024,8526,8570,8526,8526,8570,8526,0.477946,0.480413,0.480413,0.477946,0.480413,0.480413
FIR.basic_restrict,512,8,4096,OK,2.384186e-6,1024,8526,8552,8526,8526,8552,8526,0.478952,0.480413,0.480413,0.478952,0.480413,0.480413
FIR.basic_dual_bank,512,8,4096,OK,2.384186e-6,1024,8526,8554,8526,8526,8554,8526,0.478840,0.480413,0.480413,0.478840,0.480413,0.480413
FIR.basic_aligned,512,8,4096,OK,2.384186e-6,1024,8526,8547,8526,8526,8547,8526,0.479233,0.480413,0.480413,0.479233,0.480413,0.480413
FIR.basic_loop_cnt,512,8,4096,OK,2.384186e-6,1024,8459,8490,8459,8459,8490,8459,0.482450,0.484218,0.484218,0.482450,0.484218,0.484218
FIR.circular,512,8,4096,OK,0.953674e-6,1024,49205,49205,49205,49205,49205,49205,0.083244,0.083244,0.083244,0.083244,0.083244,0.083244
FIR.circular_opt,512,8,4096,OK,2.145767e-6,1024,4286,4304,4286,4286,4304,4286,0.951673,0.955670,0.955670,0.951673,0.955670,0.955670
FIR.lib,512,8,4096,OK,2.145767e-6,1024,2177,2210,2177,2177,2210,2177,1.853394,1.881488,1.881488,1.853394,1.881488,1.881488
FIR.basic,512,16,8192,OK,2.384186e-6,512,12902,12946,12902,12902,12946,12902,0.632782,0.634940,0.634940,0.632782,0.634940,0.634940
FIR.basic_restrict,512,16,8192,OK,2.384186e-6,512,12902,12928,12902,12902,12928,12902,0.633663,0.634940,0.634940,0.633663,0.634940,0.634940
FIR.basic_dual_bank,512,16,8192,OK,2.384186e-6,512,12902,12930,12902,12902,12930,12902,0.633565,0.634940,0.634940,0.633565,0.634940,0.634940
FIR.basic_aligned,512,16,8192,OK,2.384186e-6,512,12902,12923,12902,12902,12923,12902,0.633909,0.634940,0.634940,0.633909,0.634940,0.634940
FIR.basic_loop_cnt,512,16,8192,OK,2.384186e-6,512,12787,12818,12787,12787,12818,12787,0.639101,0.640651,0.640651,0.639101,0.640651,0.640651
FIR.circular,512,16,8192,OK,0.953674e-6,512,98405,98405,98405,98405,98405,98405,0.083248,0.083248,0.083248,0.083248,0.083248,0.083248
FIR.circular_opt,512,16,8192,OK,2.145767e-6,512,8558,8576,8558,8558,8576,8558,0.955224,0.957233,0.957233,0.955224,0.957233,0.957233
FIR.lib,512,16,8192,OK,2.145767e-6,512,4253,4286,4253,4253,4286,4253,1.911339,1.926170,1.926170,1.911339,1.926170,1.926170
FIR.basic,512,32,16384,OK,2.384186e-6,256,21654,21698,21654,21654,21698,21654,0.755093,0.756627,0.756627,0.755093,0.756627,0.756627
FIR.basic_restrict,512,32,16384,OK,2.384186e-6,256,21654,21680,21654,21654,21680,21654,0.755720,0.756627,0.756627,0.755720,0.756627,0.756627
FIR.basic_dual_bank,512,32,16384,OK,2.384186e-6,256,21654,21682,21654,21654,21682,21654,0.755650,0.756627,0.756627,0.755650,0.756627,0.756627
FIR.basic_aligned,512,32,16384,OK,2.384186e-6,256,21654,21675,21654,21654,21675,21654,0.755894,0.756627,0.756627,0.755894,0.756627,0.756627
FIR.basic_loop_cnt,512,32,16384,OK,2.384186e-6,256,21443,21474,21443,21443,21474,21443,0.762969,0.764072,0.764072,0.762969,0.764072,0.764072
FIR.circular,512,32,16384,OK,0.953674e-6,256,196805,196805,196805,196805,196805,196805,0.083250,0.083250,0.083250,0.083250,0.083250,0.083250
FIR.circular_opt,512,32,16384,OK,2.145767e-6,256,17102,17120,17102,17102,17120,17102,0.957009,0.958017,0.958017,0.957009,0.958017,0.958017
FIR.lib,512,32,16384,OK,2.145767e-6,256,8405,8438,8405,8405,8438,8405,1.941692,1.949316,1.949316,1.941692,1.949316,1.949316
FIR.basic,512,64,32768,OK,2.384186e-6,128,39158,39202,39158,39158,39202,39158,0.835876,0.836815,0.836815,0.835876,0.836815,0.836815
FIR.basic_restrict,512,64,32768,OK,2.384186e-6,128,39158,39184,39158,39158,39184,39158,0.836260,0.836815,0.836815,0.836260,0.836815,0.836815
FIR.basic_dual_bank,512,64,32768,OK,2.384186e-6,128,39158,39186,39158,39158,39186,39158,0.836217,0.836815,0.836815,0.836217,0.836815,0.836815
FIR.basic_aligned,512,64,32768,OK,2.384186e-6,128,39158,39179,39158,39158,39179,39158,0.836366,0.836815,0.836815,0.836366,0.836815,0.836815
FIR.basic_loop_cnt,512,64,32768,OK,2.384186e-6,128,38755,38786,38755,38755,38786,38755,0.844841,0.845517,0.845517,0.844841,0.845517,0.845517
FIR.circular,512,64,32768,OK,0.953674e-6,128,393605,393605,393605,393605,393605,393605,0.083251,0.083251,0.083251,0.083251,0.083251,0.083251
FIR.circular_opt,512,64,32768,OK,2.145767e-6,128,34190,34208,34190,34190,34208,34190,0.957905,0.958409,0.958409,0.957905,0.958409,0.958409
FIR.lib,512,64,32768,OK,2.145767e-6,128,16709,16742,16709,16709,16742,16709,1.957233,1.961099,1.961099,1.957233,1.961099,1.961099
FIR.basic,512,128,65536,OK,2.384186e-6,64,74166,74210,74166,74166,74210,74166,0.883116,0.883639,0.883639,0.883116,0.883639,0.883639
FIR.basic_restrict,512,128,65536,OK,2.384186e-6,64,74166,74192,74166,74166,74192,74166,0.883330,0.883639,0.883639,0.883330,0.883639,0.883639
FIR.basic_dual_bank,512,128,65536,OK,2.384186e-6,64,74166,74194,74166,74166,74194,74166,0.883306,0.883639,0.883639,0.883306,0.883639,0.883639
FIR.basic_aligned,512,128,65536,OK,2.384186e-6,64,74166,74187,74166,74166,74187,74166,0.883389,0.883639,0.883639,0.883389,0.883639,0.883639
FIR.basic_loop_cnt,512,128,65536,OK,2.384186e-6,64,73379,73410,73379,73379,73410,73379,0.892739,0.893117,0.893117,0.892739,0.893117,0.893117
FIR.circular,512,128,65536,OK,0.953674e-6,64,787205,787205,787205,787205,787205,787205,0.083252,0.083252,0.083252,0.083252,0.083252,0.083252
